agent,action,num_iter,runtime,payoff_mean,payoff_var
0,"[1.0, 1.5707963267948966]",100.0,0.08,0.2264993829359964,1.1513155943123279e-06
0,"[1.0, 1.5707963267948966]",600.0,0.13,0.22529265730886383,3.802630934357048e-08
0,"[1.0, 1.5707963267948966]",1100.0,0.21,0.2252002249461586,1.1197295874904777e-08
0,"[1.0, 1.5707963267948966]",1600.0,0.36,0.2254508197945182,2.20186127816058e-08
0,"[1.0, 1.5707963267948966]",2100.0,0.34,0.22558221891725388,2.2977631358013165e-07
0,"[1.0, 1.5707963267948966]",2600.0,0.36,0.22602349314993947,3.1101446694830297e-07
0,"[1.0, 1.5707963267948966]",3100.0,0.44,0.22550900155891568,1.448239042361793e-07
0,"[1.0, 1.5707963267948966]",3600.0,0.46,0.22636956924273535,7.116974604479274e-07
0,"[1.0, 1.5707963267948966]",4100.0,0.54,0.22667351207778977,6.812405717319531e-07
0,"[1.0, 1.5707963267948966]",4600.0,0.59,0.2269233400184903,7.352047059002665e-07
0,"[1.0, 0.0]",100.0,0.08,0.2276100369876603,8.771928337617737e-07
0,"[1.0, 0.0]",600.0,0.13,0.22548146849764672,1.4259866003838932e-08
0,"[1.0, 0.0]",1100.0,0.21,0.22517989824862542,1.1696799932530351e-08
0,"[1.0, 0.0]",1600.0,0.36,0.22533596158968477,1.8935565371401543e-09
0,"[1.0, 0.0]",2100.0,0.34,0.22562156420629803,2.1134921396692916e-07
0,"[1.0, 0.0]",2600.0,0.36,0.22610692466806442,4.0352526919561326e-07
0,"[1.0, 0.0]",3100.0,0.44,0.2255133390436562,9.908310504509478e-08
0,"[1.0, 0.0]",3600.0,0.46,0.22645709704579836,1.0014698465341605e-06
0,"[1.0, 0.0]",4100.0,0.54,0.2267761814040392,7.582994764132856e-07
0,"[1.0, 0.0]",4600.0,0.59,0.22693297364410997,9.309167108992019e-07
0,"[0.0, 0.0]",100.0,0.08,0.2234329365152305,1.3414380660677196e-06
0,"[0.0, 0.0]",600.0,0.13,0.22478286709915002,2.5350872895717382e-08
0,"[0.0, 0.0]",1100.0,0.21,0.22481944281850735,1.1827984980009551e-08
0,"[0.0, 0.0]",1600.0,0.36,0.22460857634524314,1.133711294984939e-08
0,"[0.0, 0.0]",2100.0,0.34,0.22444687776472577,1.768607494972579e-07
0,"[0.0, 0.0]",2600.0,0.36,0.22383578745381078,3.598068224894838e-07
0,"[0.0, 0.0]",3100.0,0.44,0.22444398436399152,1.837106837611127e-07
0,"[0.0, 0.0]",3600.0,0.46,0.22346644458125628,9.97017524065054e-07
0,"[0.0, 0.0]",4100.0,0.54,0.2231094228207729,1.0107721807244065e-06
0,"[0.0, 0.0]",4600.0,0.59,0.2228693928035706,1.124423114400474e-06
0,"[0.0, -1.5707963267948966]",100.0,0.08,0.22272315916033908,1.4654324373104181e-06
0,"[0.0, -1.5707963267948966]",600.0,0.13,0.22455629367261057,2.5350872895717382e-08
0,"[0.0, -1.5707963267948966]",1100.0,0.21,0.22479880771590813,1.1354865580809168e-08
0,"[0.0, -1.5707963267948966]",1600.0,0.36,0.22461524594178264,1.5633513624583358e-08
0,"[0.0, -1.5707963267948966]",2100.0,0.34,0.22433612268682213,2.7403781413634737e-07
0,"[0.0, -1.5707963267948966]",2600.0,0.36,0.2238869126859108,4.4501169333286816e-07
0,"[0.0, -1.5707963267948966]",3100.0,0.44,0.22448518417300925,1.1895283775477582e-07
0,"[0.0, -1.5707963267948966]",3600.0,0.46,0.2234572850551268,1.082641822938688e-06
0,"[0.0, -1.5707963267948966]",4100.0,0.54,0.22311296248788012,7.285065498425212e-07
0,"[0.0, -1.5707963267948966]",4600.0,0.59,0.22283969965457193,1.1167325633979843e-06
0,"[1.0, -1.5707963267948966]",100.0,0.08,0.22716577536699473,1.3157892506426606e-06
0,"[1.0, -1.5707963267948966]",600.0,0.13,0.22533041954662042,3.961073889955259e-08
0,"[1.0, -1.5707963267948966]",1100.0,0.21,0.225241340948824,7.486814740128664e-09
0,"[1.0, -1.5707963267948966]",1600.0,0.36,0.2253470615077091,4.576187065270507e-09
0,"[1.0, -1.5707963267948966]",2100.0,0.34,0.22552132112260911,1.5779997750805012e-07
0,"[1.0, -1.5707963267948966]",2600.0,0.36,0.22610594276892795,4.3962411444606005e-07
0,"[1.0, -1.5707963267948966]",3100.0,0.44,0.2254977585129918,1.2958402146092156e-07
0,"[1.0, -1.5707963267948966]",3600.0,0.46,0.22634466439277148,8.29558340300951e-07
0,"[1.0, -1.5707963267948966]",4100.0,0.54,0.2266505388781693,6.825631403067156e-07
0,"[1.0, -1.5707963267948966]",4600.0,0.59,0.2269761388001183,8.627171230938268e-07
0,"[0.0, 1.5707963267948966]",100.0,0.08,0.22272836535120621,1.4818055167461266e-06
0,"[0.0, 1.5707963267948966]",600.0,0.13,0.2246695803858803,3.961073889955841e-08
0,"[0.0, 1.5707963267948966]",1100.0,0.21,0.22481944281850735,1.1827984980009551e-08
0,"[0.0, 1.5707963267948966]",1600.0,0.36,0.22458392026646962,8.440918787490632e-09
0,"[0.0, 1.5707963267948966]",2100.0,0.34,0.2243966410892791,2.2902467673361075e-07
0,"[0.0, 1.5707963267948966]",2600.0,0.36,0.22386925463126514,4.740427604624065e-07
0,"[0.0, 1.5707963267948966]",3100.0,0.44,0.22444625403952712,1.4236936903681868e-07
