agent,action,num_iter,runtime,payoff_mean,payoff_var
0,"[1.0, 1.5707963267948966]",100.0,0.93,0.5524957193317186,0.00014696411107167218
0,"[1.0, 1.5707963267948966]",600.0,4.93,0.5371450884189852,1.2408399364063723e-05
0,"[1.0, 1.5707963267948966]",1100.0,10.97,0.5365128719646515,1.823255499358346e-05
0,"[1.0, 1.5707963267948966]",1600.0,17.11,0.5307402598145664,3.6812401952148247e-06
0,"[1.0, 1.5707963267948966]",2100.0,18.07,0.5203631301430386,4.604644012232855e-06
0,"[1.0, 1.5707963267948966]",2600.0,18.48,0.5162291295149205,3.83218284723022e-06
0,"[1.0, 1.5707963267948966]",3100.0,21.62,0.5132273884663894,3.8089436796790416e-06
0,"[1.0, 1.5707963267948966]",3600.0,24.68,0.5116941146493084,5.412828241463492e-06
0,"[1.0, 1.5707963267948966]",4100.0,27.57,0.5092902971783371,1.62716300293355e-06
0,"[1.0, 1.5707963267948966]",4600.0,30.44,0.5086456358046045,3.7802909593292726e-06
0,"[1.0, 0.0]",100.0,0.93,0.5227519500804836,0.00023348519374787247
0,"[1.0, 0.0]",600.0,4.93,0.51124773108191,8.469211936718814e-05
0,"[1.0, 0.0]",1100.0,10.97,0.5100614833767958,3.5609292067482704e-05
0,"[1.0, 0.0]",1600.0,17.11,0.5056722064544488,9.884798803786062e-06
0,"[1.0, 0.0]",2100.0,18.07,0.5008954451267418,1.7413622048486347e-05
0,"[1.0, 0.0]",2600.0,18.48,0.49943838954658154,1.2270406707113486e-05
0,"[1.0, 0.0]",3100.0,21.62,0.4954501037682437,7.590132968553077e-06
0,"[1.0, 0.0]",3600.0,24.68,0.4965701419688161,2.5333447695423264e-05
0,"[1.0, 0.0]",4100.0,27.57,0.4944019172774257,1.3223630959187547e-05
0,"[1.0, 0.0]",4600.0,30.44,0.4931140296814543,8.363699360706353e-06
0,"[0.0, 0.0]",100.0,0.93,0.5556752970190023,0.00011743597732053836
0,"[0.0, 0.0]",600.0,4.93,0.5385241709042193,3.7939529866718194e-05
0,"[0.0, 0.0]",1100.0,10.97,0.5374690918192636,1.5047291427183299e-05
0,"[0.0, 0.0]",1600.0,17.11,0.5294114966600458,5.356885478837305e-06
