agent,action,num_iter,runtime,payoff_mean,payoff_var
0,"[1.0, 1.5707963267948966]",100.0,0.98,0.47019854265409516,4.825935573700271e-05
0,"[1.0, 1.5707963267948966]",600.0,5.18,0.4572163523999886,2.754810299143674e-05
0,"[1.0, 1.5707963267948966]",1100.0,9.6,0.4565648761091866,1.4800107037799245e-05
0,"[1.0, 1.5707963267948966]",1600.0,14.73,0.44997167038163866,6.015250162975372e-06
0,"[1.0, 1.5707963267948966]",2100.0,16.68,0.44518884947218834,1.926283274010916e-06
0,"[1.0, 1.5707963267948966]",2600.0,18.66,0.44328188535744867,3.0893416815192398e-06
0,"[1.0, 1.5707963267948966]",3100.0,21.61,0.4407739032194396,2.1205270496049637e-06
0,"[1.0, 1.5707963267948966]",3600.0,24.61,0.4397494005094056,1.4257121461389924e-06
0,"[1.0, 1.5707963267948966]",4100.0,27.91,0.43793260780860627,2.14431807577744e-06
0,"[1.0, 1.5707963267948966]",4600.0,30.62,0.43669570612193676,9.049988203833282e-07
0,"[1.0, 0.0]",100.0,0.98,0.45395396851397385,0.0004031204338751659
0,"[1.0, 0.0]",600.0,5.18,0.4476119799621987,3.2791428165569655e-05
0,"[1.0, 0.0]",1100.0,9.6,0.44540511050984977,2.402356607586898e-05
0,"[1.0, 0.0]",1600.0,14.73,0.43946631733814867,7.544921545762204e-06
0,"[1.0, 0.0]",2100.0,16.68,0.4381196441459439,6.787383594378361e-06
0,"[1.0, 0.0]",2600.0,18.66,0.43404928004675536,1.328572783295422e-06
0,"[1.0, 0.0]",3100.0,21.61,0.4348136773267422,4.463912914640271e-06
0,"[1.0, 0.0]",3600.0,24.61,0.43242384036349496,1.5714073904474003e-06
0,"[1.0, 0.0]",4100.0,27.91,0.4310191567844478,3.341274152542926e-06
0,"[1.0, 0.0]",4600.0,30.62,0.43097279264700517,5.285829319880753e-06
0,"[0.0, 0.0]",100.0,0.98,0.46355287910306925,0.00010467964914642451
0,"[0.0, 0.0]",600.0,5.18,0.45724812967966394,1.2770180167940317e-05
0,"[0.0, 0.0]",1100.0,9.6,0.4542386495446279,6.608518727307665e-06
0,"[0.0, 0.0]",1600.0,14.73,0.44958464547733523,6.486929084632244e-06
0,"[0.0, 0.0]",2100.0,16.68,0.44610273593537836,3.0608367160148144e-06
0,"[0.0, 0.0]",2600.0,18.66,0.44232170361504297,2.05582638885845e-06
0,"[0.0, 0.0]",3100.0,21.61,0.43995532506354235,1.0680219812420757e-06
0,"[0.0, 0.0]",3600.0,24.61,0.4381480947479381,1.6765721321208852e-06
0,"[0.0, 0.0]",4100.0,27.91,0.4368524690659787,1.8109896114197646e-06
0,"[0.0, 0.0]",4600.0,30.62,0.43618381482759894,1.542216959410331e-06
0,"[0.0, -1.5707963267948966]",100.0,0.98,0.47048373672391774,2.111168063008086e-05
0,"[0.0, -1.5707963267948966]",600.0,5.18,0.45733760516088395,7.399940812508485e-06
0,"[0.0, -1.5707963267948966]",1100.0,9.6,0.4567934558600696,3.5485726970873945e-06
0,"[0.0, -1.5707963267948966]",1600.0,14.73,0.4497561683448841,1.5795762613992838e-06
0,"[0.0, -1.5707963267948966]",2100.0,16.68,0.44540617435275676,1.488684857480006e-06
0,"[0.0, -1.5707963267948966]",2600.0,18.66,0.44162191957224123,1.0899881718398026e-06
0,"[0.0, -1.5707963267948966]",3100.0,21.61,0.43951110435065904,1.7008945987964657e-06
0,"[0.0, -1.5707963267948966]",3600.0,24.61,0.4375320212723608,9.37377341707624e-07
0,"[0.0, -1.5707963267948966]",4100.0,27.91,0.43625743840112935,3.933256831252865e-07
0,"[0.0, -1.5707963267948966]",4600.0,30.62,0.43545004227012657,4.6342065736786943e-07
0,"[1.0, -1.5707963267948966]",100.0,0.98,0.47063836040841256,6.996780386507032e-05
0,"[1.0, -1.5707963267948966]",600.0,5.18,0.45878743885451884,9.748805271757025e-06
0,"[1.0, -1.5707963267948966]",1100.0,9.6,0.4576330120146981,9.315063239740145e-06
0,"[1.0, -1.5707963267948966]",1600.0,14.73,0.451340113588966,4.2164417802293565e-06
0,"[1.0, -1.5707963267948966]",2100.0,16.68,0.44596813959362835,7.267428937982754e-06
0,"[1.0, -1.5707963267948966]",2600.0,18.66,0.44415351774304385,1.3625222514043759e-06
0,"[1.0, -1.5707963267948966]",3100.0,21.61,0.4417659151623837,1.0223651186815363e-06
0,"[1.0, -1.5707963267948966]",3600.0,24.61,0.439954665977904,1.846739989644762e-06
0,"[1.0, -1.5707963267948966]",4100.0,27.91,0.43777829997808615,1.735487073750945e-06
0,"[1.0, -1.5707963267948966]",4600.0,30.62,0.43773764297016904,2.226929794320395e-06
0,"[0.0, 1.5707963267948966]",100.0,0.98,0.4657668175791125,3.9735336796399084e-05
0,"[0.0, 1.5707963267948966]",600.0,5.18,0.4573475799379244,1.2185477045434545e-06
0,"[0.0, 1.5707963267948966]",1100.0,9.6,0.45503057314093776,2.9334880202584858e-06
0,"[0.0, 1.5707963267948966]",1600.0,14.73,0.4506219658421379,2.006395268031224e-06
0,"[0.0, 1.5707963267948966]",2100.0,16.68,0.4457711895495531,9.824006622257292e-07
0,"[0.0, 1.5707963267948966]",2600.0,18.66,0.4417211661671434,1.3726505295455394e-06
0,"[0.0, 1.5707963267948966]",3100.0,21.61,0.43957732509491365,7.30062056794474e-07
0,"[0.0, 1.5707963267948966]",3600.0,24.61,0.4375700165213111,1.0156795988635609e-06
0,"[0.0, 1.5707963267948966]",4100.0,27.91,0.43650321222640986,2.7851902157868225e-07
0,"[0.0, 1.5707963267948966]",4600.0,30.62,0.43551242043419797,7.608261195610638e-07
1,"[0.0, 0.0]",100.0,0.98,0.46434527657108904,7.852907539095207e-05
1,"[0.0, 0.0]",600.0,5.18,0.44978200781850247,5.862016015091063e-05
1,"[0.0, 0.0]",1100.0,9.6,0.45245710753906054,1.9756650976745652e-05
1,"[0.0, 0.0]",1600.0,14.73,0.447506768232948,4.840841595485084e-06
1,"[0.0, 0.0]",2100.0,16.68,0.443193768301459,4.099744447942543e-06
1,"[0.0, 0.0]",2600.0,18.66,0.4414102124319167,3.869297245407842e-06
1,"[0.0, 0.0]",3100.0,21.61,0.43855277559185346,3.152041877152852e-06
1,"[0.0, 0.0]",3600.0,24.61,0.4369891743644162,1.0345030620606635e-06
1,"[0.0, 0.0]",4100.0,27.91,0.43642976275363693,3.1629548047474274e-06
1,"[0.0, 0.0]",4600.0,30.62,0.4347754243800382,7.534045627119676e-07
1,"[1.0, 0.0]",100.0,0.98,0.48633639098392417,2.890733691105176e-05
1,"[1.0, 0.0]",600.0,5.18,0.47885892358429044,8.36325161005019e-06
1,"[1.0, 0.0]",1100.0,9.6,0.47806567715157,1.8063012937432251e-06
1,"[1.0, 0.0]",1600.0,14.73,0.4713371532042029,1.4270525684436942e-06
1,"[1.0, 0.0]",2100.0,16.68,0.46619349355184775,1.9933586878577475e-06
1,"[1.0, 0.0]",2600.0,18.66,0.4638599311476093,1.093689328945874e-06
1,"[1.0, 0.0]",3100.0,21.61,0.4618727621967135,6.628362025314472e-07
1,"[1.0, 0.0]",3600.0,24.61,0.46086820517739013,1.1528488660499944e-06
1,"[1.0, 0.0]",4100.0,27.91,0.4593158049749582,2.5158511164077e-06
1,"[1.0, 0.0]",4600.0,30.62,0.45874312635090886,7.520813706771514e-07
1,"[0.0, -1.5707963267948966]",100.0,0.98,0.44740681233711105,0.0003324183556438506
1,"[0.0, -1.5707963267948966]",600.0,5.18,0.4387053038453552,5.689472804400475e-05
1,"[0.0, -1.5707963267948966]",1100.0,9.6,0.4362013764197097,7.760438513098804e-06
1,"[0.0, -1.5707963267948966]",1600.0,14.73,0.43323201678666434,6.571804147860338e-06
1,"[0.0, -1.5707963267948966]",2100.0,16.68,0.4301829625911216,1.8966479036825274e-05
1,"[0.0, -1.5707963267948966]",2600.0,18.66,0.42544963304443667,9.752028343061555e-06
1,"[0.0, -1.5707963267948966]",3100.0,21.61,0.42471561695013127,2.8295731845533337e-06
1,"[0.0, -1.5707963267948966]",3600.0,24.61,0.4213734516194808,7.71087941893829e-06
1,"[0.0, -1.5707963267948966]",4100.0,27.91,0.42024464030377323,2.956923462803002e-06
1,"[0.0, -1.5707963267948966]",4600.0,30.62,0.4202498073179444,6.340077347028616e-06
1,"[1.0, -1.5707963267948966]",100.0,0.98,0.4747738425689213,6.144808423970713e-05
1,"[1.0, -1.5707963267948966]",600.0,5.18,0.46565655826968405,1.0277297750673802e-05
1,"[1.0, -1.5707963267948966]",1100.0,9.6,0.4643605717794711,8.205818360039255e-06
1,"[1.0, -1.5707963267948966]",1600.0,14.73,0.45765316023433683,6.24658034445153e-06
1,"[1.0, -1.5707963267948966]",2100.0,16.68,0.4530675260854444,3.771940737485082e-06
