timestep,runtime,game_length,winner,runtime_selfplay,T_terminal,trajectory_0,trajectory_1,payoff_total,coll_payoff_0,coll_payoff_1,final_lead_payoff_0,final_lead_payoff_1,collisions,data_of_agent,run_num
6,5.669635534286499,2,"[0, 0]",5.680747032165527,7,"[[10.0, 1.0, 0.0, 6], [12.0, 1.0, 0.0, 7]]","[[3.0, 4.000000000000002, 3.141592653589793, 6], [1.0, 4.000000000000002, 3.141592653589793, 7]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,5
7,0.971897840499877,1,"[0, 1]",0.9763946533203121,8,"[[12.0, 1.0, 0.0, 7], [12.0, 1.0, -1.5707963267948961, 8]]","[[1.0, 4.000000000000002, 3.141592653589793, 7], [0.0, 4.000000000000002, 4.71238898038469, 8]]","[[0.499999999925, 0.499999999925], [0.7307692306596151, 0.769230769115384]]",[1.0],[1.0],[0.461538461538461],[0.538461538461538],0,1,5
0,58.80700349807739,7,"[0, 0]",58.81297039985657,1,"[[0.0, 3.0, 0.0, 0], [2.0, 3.0, 0.0, 1]]","[[13.0, 3.0, 3.141592653589793, 0], [11.0, 3.0, 3.141592653589793, 1]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,8
1,47.21495032310486,6,"[0, 0]",47.22239422798157,2,"[[2.0, 3.0, 0.0, 1], [4.0, 3.0, -1.5707963267948961, 2]]","[[11.0, 3.0, 3.141592653589793, 1], [9.0, 3.000000000000001, 4.71238898038469, 2]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,8
2,33.909302711486816,5,"[0, 0]",33.913939476013184,3,"[[4.0, 3.0, -1.5707963267948961, 2], [4.0, 1.0, 0.0, 3]]","[[9.0, 3.000000000000001, 4.71238898038469, 2], [9.0, 2.000000000000001, 3.141592653589793, 3]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,8
3,38.001646518707275,5,"[0, 0]",38.00843620300293,4,"[[4.0, 1.0, 0.0, 3], [6.0, 1.0, 0.0, 4]]","[[9.0, 3.000000000000001, 3.141592653589793, 3], [7.0, 3.000000000000001, 3.141592653589793, 4]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,8
4,27.78447437286377,4,"[0, 0]",27.791600942611694,5,"[[6.0, 1.0, 0.0, 4], [8.0, 1.0, 0.0, 5]]","[[7.0, 3.000000000000001, 3.141592653589793, 4], [5.0, 3.000000000000001, 3.141592653589793, 5]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,8
5,17.90923523902893,3,"[0, 0]",17.915039777755737,6,"[[8.0, 1.0, 0.0, 5], [10.0, 1.0, 0.0, 6]]","[[5.0, 3.000000000000001, 3.141592653589793, 5], [3.0, 3.000000000000002, 3.141592653589793, 6]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,8
6,6.70084810256958,2,"[0, 0]",6.7070043087005615,7,"[[10.0, 1.0, 0.0, 6], [12.0, 1.0, 0.0, 7]]","[[3.0, 3.000000000000002, 3.141592653589793, 6], [1.0, 3.000000000000002, 3.141592653589793, 7]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,8
7,0.8880808353424071,1,"[0, 0]",0.8922736644744871,8,"[[12.0, 1.0, 0.0, 7], [13.0, 1.0, 0.0, 8]]","[[1.0, 3.000000000000002, 3.141592653589793, 7], [0.0, 3.000000000000002, 3.141592653589793, 8]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,8
0,58.06288027763367,7,"[0, 0]",58.07084679603577,1,"[[0.0, 3.0, 0.0, 0], [2.0, 3.0, 0.0, 1]]","[[13.0, 3.0, 3.141592653589793, 0], [11.0, 3.0, 3.141592653589793, 1]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,8
1,44.56813621520996,6,"[0, 0]",44.57289695739746,2,"[[2.0, 3.0, 0.0, 1], [4.0, 3.0, 0.0, 2]]","[[11.0, 3.0, 3.141592653589793, 1], [9.0, 3.000000000000001, 4.71238898038469, 2]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,8
2,32.86321830749512,5,"[0, 0]",32.86785531044006,3,"[[4.0, 3.0, -1.5707963267948961, 2], [4.0, 3.0, 0.0, 3]]","[[9.0, 3.000000000000001, 4.71238898038469, 2], [9.0, 3.000000000000001, 3.141592653589793, 3]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,8
3,36.90094828605652,5,"[0, 0]",36.90648937225342,4,"[[4.0, 1.0, 0.0, 3], [6.0, 1.0, 0.0, 4]]","[[9.0, 3.000000000000001, 3.141592653589793, 3], [7.0, 3.000000000000001, 3.141592653589793, 4]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,8
4,28.691375970840454,4,"[0, 0]",28.698376893997192,5,"[[6.0, 1.0, 0.0, 4], [8.0, 1.0, 0.0, 5]]","[[7.0, 3.000000000000001, 3.141592653589793, 4], [5.0, 3.000000000000001, 3.141592653589793, 5]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,8
5,17.81451916694641,3,"[0, 0]",17.823222637176514,6,"[[8.0, 1.0, 0.0, 5], [10.0, 1.0, 0.0, 6]]","[[5.0, 3.000000000000001, 3.141592653589793, 5], [3.0, 3.000000000000002, 3.141592653589793, 6]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,8
6,6.476982116699219,2,"[0, 0]",6.4825849533081055,7,"[[10.0, 1.0, 0.0, 6], [12.0, 1.0, 0.0, 7]]","[[3.0, 3.000000000000002, 3.141592653589793, 6], [1.0, 3.000000000000002, 3.141592653589793, 7]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,8
7,0.8977646827697751,1,"[0, 0]",0.903119802474975,8,"[[12.0, 1.0, 0.0, 7], [13.0, 1.0, 1.5707963267948961, 8]]","[[1.0, 3.000000000000002, 3.141592653589793, 7], [0.0, 3.000000000000002, 3.141592653589793, 8]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,8
0,128.14201855659485,7,"[0, 0]",128.15332770347595,1,"[[0.0, 3.0, 0.0, 0], [2.0, 3.0, 0.0, 1]]","[[13.0, 3.0, 3.141592653589793, 0], [11.0, 3.0, 3.141592653589793, 1]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,2
1,106.93131232261658,6,"[0, 0]",106.94383931159973,2,"[[2.0, 3.0, 0.0, 1], [4.0, 3.0, 0.0, 2]]","[[11.0, 3.0, 3.141592653589793, 1], [9.0, 3.000000000000001, 1.5707963267948961, 2]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,2
2,84.68482947349548,5,"[0, 0]",84.69798803329468,3,"[[4.0, 3.0, 0.0, 2], [6.0, 3.0, 1.5707963267948961, 3]]","[[9.0, 3.000000000000001, 4.71238898038469, 2], [9.0, 2.000000000000001, 3.141592653589793, 3]]","[[0.499999999925, 0.499999999925], [0.788461538343269, 0.71153846143173]]",[1.0],[1.0],[0.5769230769230761],[0.423076923076923],0,0,2
3,26.07910680770874,4,"[0, 0]",26.086799144744873,4,"[[6.0, 3.0, 1.5707963267948961, 3], [6.0, 5.0, 0.0, 4]]","[[9.0, 1.0, 3.141592653589793, 3], [7.0, 1.000000000000001, 3.141592653589793, 4]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,2
4,23.02999496459961,4,"[0, 0]",23.035399913787842,5,"[[6.0, 5.0, 0.0, 4], [8.0, 5.0, 0.0, 5]]","[[7.0, 1.000000000000001, 3.141592653589793, 4], [5.0, 1.000000000000001, 3.141592653589793, 5]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,2
5,15.045644044876099,3,"[0, 0]",15.052859544754028,6,"[[8.0, 5.0, 0.0, 5], [10.0, 5.0, 0.0, 6]]","[[5.0, 1.000000000000001, 3.141592653589793, 5], [3.0, 1.000000000000001, 3.141592653589793, 6]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,2
