timestep,alphat_eff_gamelength_5,runtime_gamelength_5,game_length,winner,runtime,T_terminal,trajectory_0,trajectory_1,payoff_total,coll_payoff_0,coll_payoff_1,final_lead_payoff_0,final_lead_payoff_1,alphat_eff_gamelength_4,runtime_gamelength_4,alphat_eff_gamelength_3,runtime_gamelength_3,collisions,data_of_agent,run_num,alphat_eff_gamelength_2,runtime_gamelength_2
4,,,3,"[0, 0]",3.400308847427368,1,"[[3.0, 3.0, 1.5707963267948961, 0], [3.0, 3.0, 3.141592653589793, 1]]","[[1.0, 4.0, 3.141592653589793, 0], [0.0, 4.0, 3.141592653589793, 1]]","[[0.499999999925, 0.499999999925], [0.8040013971772031, 0.695998602597797]]",[1.0],[1.0],[0.608002794595606],[0.39199720540439303],0.9701425001453311,1.141049146652221,,,0,1,7,,
5,,,3,"[0, 0]",3.271238088607788,1,"[[3.0, 3.0, 3.141592653589793, 0], [3.0, 3.0, 1.5707963267948961, 1]]","[[0.0, 4.0, 3.141592653589793, 0], [0.0, 4.0, 1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.8040013971772031, 0.695998602597797]]",[1.0],[1.0],[0.608002794595606],[0.39199720540439303],0.9701425001453311,1.049590349197387,,,0,1,7,,
6,,,3,"[0, 0]",55.16898536682129,1,"[[3.0, 3.0, 4.71238898038469, 0], [3.0, 3.0, 4.71238898038469, 1]]","[[0.0, 4.0, 1.5707963267948961, 0], [0.0, 4.0, 3.141592653589793, 1]]","[[0.499999999925, 0.499999999925], [0.8040013971772031, 0.695998602597797]]",[1.0],[1.0],[0.608002794595606],[0.39199720540439303],0.9701425001453311,0.9340720176696771,,,0,1,7,,
7,,,3,"[0, 0]",58.674381494522095,1,"[[3.0, 2.0, 3.141592653589793, 0], [1.0, 2.0, 1.5707963267948961, 1]]","[[0.0, 4.0, 3.141592653589793, 0], [0.0, 4.0, 4.71238898038469, 1]]","[[0.499999999925, 0.499999999925], [0.7604461521388031, 0.739553847636196]]",[1.0],[1.0],[0.5208923045057411],[0.479107695494258],0.9363291775690441,1.094311952590942,,,0,1,7,,
8,,,3,"[0, 0]",58.88129377365112,1,"[[2.0, 2.0, 4.71238898038469, 0], [2.0, 2.0, 0.0, 1]]","[[0.0, 4.0, 4.71238898038469, 0], [0.0, 4.0, 3.141592653589793, 1]]","[[0.499999999925, 0.499999999925], [0.7822237746580031, 0.717776225116996]]",[1.0],[1.0],[0.564447549550673],[0.43555245044932606],0.843274042711567,1.14200210571289,,,0,1,7,,
9,,,3,"[0, 0]",58.0983030796051,1,"[[1.9999999999999991, 1.0, 0.0, 0], [1.9999999999999991, 1.0, 1.5707963267948961, 1]]","[[0.0, 4.0, 3.141592653589793, 0], [0.0, 4.0, 1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.7822237746580031, 0.717776225116996]]",[1.0],[1.0],[0.564447549550673],[0.43555245044932606],0.8122769321068951,0.8834784030914301,,,0,1,7,,
0,0.9578262852211511,3.9128999710083012,4,"[0, 0]",7.300745964050293,1,"[[1.0, 2.0, 0.0, 0], [1.0, 2.0, 0.0, 1]]","[[1.0, 4.0, 0.0, 0], [3.0, 4.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.7170384601031691, 0.78296153967183]]",[1.0],[1.0],[0.434076920421451],[0.565923079578548],,,,,0,0,0,,
1,0.9578262852211511,4.8147876262664795,4,"[0, 0]",8.705422163009644,1,"[[1.0, 2.0, 0.0, 0], [3.0, 2.0, 0.0, 1]]","[[2.0, 4.0, 0.0, 0], [2.0, 4.0, 1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.782297551159386, 0.717702448615613]]",[1.0],[1.0],[0.564595102553461],[0.43540489744653804],,,,,0,0,0,,
2,,,3,"[0, 0]",4.8855228424072275,1,"[[3.0, 2.0, 0.0, 0], [4.0, 2.0, -1.5707963267948961, 1]]","[[3.0, 4.0, -1.5707963267948961, 0], [3.0, 4.0, -3.141592653589793, 1]]","[[0.499999999925, 0.499999999925], [0.7823713276607681, 0.7176286721142311]]",[1.0],[1.0],[0.564742655556248],[0.435257344443751],0.9363291775690441,2.277516841888427,,,0,0,0,,
3,,,2,"[0, 0]",3.271038055419922,1,"[[4.0, 2.0, -1.5707963267948961, 0], [4.0, 1.0, -3.141592653589793, 1]]","[[3.0, 2.0, 0.0, 0], [5.0, 2.0, -1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.717222901356626, 0.7827770984183731]]",[1.0],[1.0],[0.43444580292841906],[0.5655541970715801],,,0.787838597158335,1.800081253051757,0,0,0,,
