timestep,runtime,game_length,winner,runtime_selfplay,T_terminal,trajectory_0,trajectory_1,payoff_total,coll_payoff_0,coll_payoff_1,final_lead_payoff_0,final_lead_payoff_1,collisions,data_of_agent,run_num
1,64.67411279678345,3,"[0, 0]",64.68881750106812,2,"[[2.0, 3.0, 1.57, 1], [2.0, 4.0, -0.0, 2]]","[[2.0, 5.0, 1.57, 1], [2.0, 7.0, -0.0, 2]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,0
2,64.21049380302429,3,"[0, 0]",64.2201898097992,3,"[[2.0, 4.0, -0.0, 2], [3.0, 4.0, 0.0, 3]]","[[2.0, 6.0, 1.57, 2], [2.0, 7.0, -0.0, 3]]","[[0.499999999925, 0.499999999925], [0.7999999998799999, 0.699999999895]]",[1.0],[1.0],[0.6000000000000001],[0.4],0,0,0
3,59.2567195892334,3,"[0, 0]",59.264363527297974,4,"[[3.0, 4.0, 0.0, 3], [4.0, 4.0, 0.0, 4]]","[[2.0, 7.0, -0.0, 3], [4.0, 7.0, -1.57, 4]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,0
4,34.392425537109375,2,"[0, 0]",34.40978121757507,5,"[[4.0, 4.0, 0.0, 4], [5.0, 4.0, 0.0, 5]]","[[3.0, 7.0, 0.0, 4], [5.0, 7.0, 0.0, 5]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,0
5,22.782987117767334,2,"[0, 0]",22.798020601272583,6,"[[5.0, 4.0, 0.0, 5], [6.0, 4.0, 0.0, 6]]","[[4.0, 7.0, 0.0, 5], [6.0, 7.0, 0.0, 6]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,0
0,146.60632872581482,6,"[0, 0]",146.6171269416809,1,"[[1.0, 3.0, 0.0, 0], [2.0, 3.0, -1.57, 1]]","[[1.0, 5.0, 0.0, 0], [2.0, 5.0, 1.57, 1]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,0
1,106.39453482627869,5,"[0, 0]",106.40441584587097,2,"[[2.0, 3.0, 1.57, 1], [2.0, 4.0, -0.0, 2]]","[[2.0, 5.0, 1.57, 1], [2.0, 6.0, 1.57, 2]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,0
2,97.69452333450317,5,"[0, 0]",97.70520639419556,3,"[[2.0, 4.0, -0.0, 2], [3.0, 4.0, 0.0, 3]]","[[2.0, 6.0, 1.57, 2], [2.0, 7.0, -0.0, 3]]","[[0.499999999925, 0.499999999925], [0.7999999998799999, 0.699999999895]]",[1.0],[1.0],[0.6000000000000001],[0.4],0,1,0
3,68.96998858451843,4,"[0, 0]",68.97976398468018,4,"[[3.0, 4.0, 0.0, 3], [4.0, 4.0, -1.57, 4]]","[[2.0, 7.0, -0.0, 3], [3.0, 7.0, 0.0, 4]]","[[0.499999999925, 0.499999999925], [0.7999999998799999, 0.699999999895]]",[1.0],[1.0],[0.6000000000000001],[0.4],0,1,0
4,51.85227084159851,3,"[0, 0]",51.8653781414032,5,"[[4.0, 4.0, 0.0, 4], [5.0, 4.0, -1.57, 5]]","[[3.0, 7.0, 0.0, 4], [4.0, 7.0, 0.0, 5]]","[[0.499999999925, 0.499999999925], [0.7999999998799999, 0.699999999895]]",[1.0],[1.0],[0.6000000000000001],[0.4],0,1,0
5,18.90659761428833,2,"[1, 0]",18.912960052490234,6,"[[5.0, 4.0, 0.0, 5], [6.0, 4.0, -1.57, 6]]","[[4.0, 7.0, 0.0, 5], [5.0, 7.0, 0.0, 6]]","[[0.499999999925, 0.499999999925], [0.7999999998799999, 0.699999999895]]",[1.0],[1.0],[0.6000000000000001],[0.4],0,1,0
0,46.93846273422241,3,"[0, 0]",46.9451847076416,1,"[[1.0, 3.0, 0.0, 0], [2.0, 3.0, -1.57, 1]]","[[1.0, 5.0, 0.0, 0], [2.0, 5.0, 1.57, 1]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,9
1,40.39858293533325,3,"[0, 0]",40.41012358665466,2,"[[2.0, 3.0, -1.57, 1], [2.0, 2.0, -1.57, 2]]","[[2.0, 5.0, 1.57, 1], [2.0, 7.0, -0.0, 2]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,9
2,30.445904970169067,3,"[0, 0]",30.45198893547058,3,"[[2.0, 2.0, -1.57, 2], [2.0, 1.0, 0.0, 3]]","[[2.0, 6.0, 1.57, 2], [2.0, 7.0, -0.0, 3]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,9
3,32.98341226577759,3,"[0, 0]",32.995213747024536,4,"[[2.0, 1.0, 0.0, 3], [3.0, 1.0, 0.0, 4]]","[[2.0, 7.0, -0.0, 3], [4.0, 7.0, -1.57, 4]]","[[0.499999999925, 0.499999999925], [0.699999999895, 0.7999999998799999]]",[1.0],[1.0],[0.4],[0.6000000000000001],0,0,9
4,17.505995512008667,2,"[0, 0]",17.512179851531982,5,"[[3.0, 1.0, 0.0, 4], [4.0, 1.0, 0.0, 5]]","[[3.0, 7.0, 0.0, 4], [5.0, 7.0, 0.0, 5]]","[[0.499999999925, 0.499999999925], [0.699999999895, 0.7999999998799999]]",[1.0],[1.0],[0.4],[0.6000000000000001],0,0,9
5,18.585022926330566,2,"[0, 0]",18.590393781661987,6,"[[4.0, 1.0, 0.0, 5], [5.0, 1.0, 0.0, 6]]","[[4.0, 7.0, -1.57, 5], [4.0, 5.0, 0.0, 6]]","[[0.499999999925, 0.499999999925], [0.7999999998799999, 0.699999999895]]",[1.0],[1.0],[0.6000000000000001],[0.4],0,0,9
6,8.973952770233154,2,"[0, 0]",8.979679346084595,7,"[[5.0, 1.0, 0.0, 6], [6.0, 1.0, 1.57, 7]]","[[4.0, 6.0, 0.0, 6], [6.0, 6.0, -1.57, 7]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,9
0,94.637277841568,6,"[0, 0]",94.64184260368347,1,"[[1.0, 3.0, 0.0, 0], [2.0, 3.0, -1.57, 1]]","[[1.0, 5.0, 0.0, 0], [2.0, 5.0, 1.57, 1]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,9
1,61.0720636844635,5,"[0, 0]",61.081096172332764,2,"[[2.0, 3.0, -1.57, 1], [2.0, 2.0, -1.57, 2]]","[[2.0, 5.0, 1.57, 1], [2.0, 6.0, 1.57, 2]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,9
2,53.288785457611084,5,"[0, 0]",53.29456329345703,3,"[[2.0, 2.0, -1.57, 2], [2.0, 1.0, 0.0, 3]]","[[2.0, 6.0, 1.57, 2], [2.0, 7.0, -0.0, 3]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,9
3,48.72930550575256,5,"[0, 0]",48.7341423034668,4,"[[2.0, 1.0, 0.0, 3], [3.0, 1.0, 0.0, 4]]","[[2.0, 7.0, -0.0, 3], [3.0, 7.0, 0.0, 4]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,9
4,36.67247486114502,4,"[0, 0]",36.677520990371704,5,"[[3.0, 1.0, 0.0, 4], [4.0, 1.0, 1.57, 5]]","[[3.0, 7.0, 0.0, 4], [4.0, 7.0, -1.57, 5]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,9
5,26.385448694229126,3,"[0, 0]",26.38969612121582,6,"[[4.0, 1.0, 0.0, 5], [5.0, 1.0, 1.57, 6]]","[[4.0, 7.0, -1.57, 5], [4.0, 6.0, 0.0, 6]]","[[0.499999999925, 0.499999999925], [0.7999999998799999, 0.699999999895]]",[1.0],[1.0],[0.6000000000000001],[0.4],0,1,9
6,8.511535406112671,2,"[1, 0]",8.515923023223877,7,"[[5.0, 1.0, 0.0, 6], [6.0, 1.0, 0.0, 7]]","[[4.0, 6.0, 0.0, 6], [5.0, 6.0, 0.0, 7]]","[[0.499999999925, 0.499999999925], [0.7999999998799999, 0.699999999895]]",[1.0],[1.0],[0.6000000000000001],[0.4],0,1,9
0,37.976489305496216,3,"[0, 0]",37.98124027252197,1,"[[1.0, 3.0, 0.0, 0], [2.0, 3.0, -1.57, 1]]","[[1.0, 5.0, 0.0, 0], [2.0, 5.0, 1.57, 1]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,6
1,36.92166209220886,3,"[0, 0]",36.92757987976074,2,"[[2.0, 3.0, -1.57, 1], [2.0, 2.0, -1.57, 2]]","[[2.0, 5.0, 1.57, 1], [2.0, 7.0, -0.0, 2]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,6
2,33.82567834854126,3,"[0, 0]",33.83365082740784,3,"[[2.0, 2.0, -1.57, 2], [2.0, 1.0, 0.0, 3]]","[[2.0, 6.0, 1.57, 2], [2.0, 7.0, -0.0, 3]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,6
3,35.10378336906433,3,"[0, 0]",35.11640954017639,4,"[[2.0, 1.0, 0.0, 3], [3.0, 1.0, 0.0, 4]]","[[2.0, 7.0, -0.0, 3], [4.0, 7.0, -1.57, 4]]","[[0.499999999925, 0.499999999925], [0.699999999895, 0.7999999998799999]]",[1.0],[1.0],[0.4],[0.6000000000000001],0,0,6
4,19.37885546684265,2,"[0, 0]",19.38475513458252,5,"[[3.0, 1.0, 0.0, 4], [4.0, 1.0, 0.0, 5]]","[[3.0, 7.0, 0.0, 4], [5.0, 7.0, 0.0, 5]]","[[0.499999999925, 0.499999999925], [0.699999999895, 0.7999999998799999]]",[1.0],[1.0],[0.4],[0.6000000000000001],0,0,6
5,22.479281187057495,2,"[0, 0]",22.488556623458862,6,"[[4.0, 1.0, 0.0, 5], [5.0, 1.0, 0.0, 6]]","[[4.0, 7.0, -1.57, 5], [4.0, 6.0, 0.0, 6]]","[[0.499999999925, 0.499999999925], [0.7999999998799999, 0.699999999895]]",[1.0],[1.0],[0.6000000000000001],[0.4],0,0,6
6,11.268077850341797,2,"[0, 0]",11.277971506118774,7,"[[5.0, 1.0, 0.0, 6], [6.0, 1.0, 0.0, 7]]","[[4.0, 7.0, 0.0, 6], [6.0, 7.0, 1.57, 7]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,6
