index,runtime_game_length_10,runtime_game_length_9,runtime_game_length_8,runtime_game_length_7,runtime_game_length_6,runtime_game_length_5,runtime_game_length_4,runtime,winner,T_terminal,trajectories,penalty_distance_0,penalty_distance_1,reward_progress_0,reward_progress_1,penalty_timestep_0,penalty_timestep_1,reward_lead_0,reward_lead_1,payoff_total_0,payoff_total_1,index
0,12.67266583442688,11.487690210342407,11.222138166427612,9.21242904663086,5.996058464050293,3.8481030464172363,1.0708749294281006,55.51039433479309,"[1, 0]",7,"[[4.0, 1.0, 1.5707963267948966, 1.0, 4.0, 0.0, 0.0], [4.0, 2.0, 0.0, 2.0, 4.0, 0.0, 1.0], [5.0, 2.0, 0.0, 3.0, 4.0, 0.0, 2.0], [6.0, 2.0, 0.0, 4.0, 4.0, 0.0, 3.0], [7.0, 2.0, 0.0, 5.0, 4.0, 0.0, 4.0], [8.0, 2.0, 0.0, 6.0, 4.0, 0.0, 5.0], [9.0, 2.0, 0.0, 7.0, 4.0, 0.0, 6.0], [10.0, 2.0, 1.5707963267948966, 8.0, 4.0, 0.0, 7.0]]","[-0.023642298624782492, -0.022460183693543367, -0.0213371745088662, -0.020270315783422886, -0.01925679999425174, -0.01829395999453915, -0.017379261994812194]","[-0.03546344793717374, -0.03369027554031505, -0.03200576176329929, -0.030405473675134326, -0.028885199991377612, -0.027440939991808723, -0.026068892992218286]","[0.0, 0.095, 0.09025, 0.0857375, 0.081450625, 0.07737809374999999, 0.07350918906249998]","[0.1, 0.095, 0.09025, 0.0857375, 0.081450625, 0.07737809374999999, 0.07350918906249998]",[-0.7000000000000001],[-0.7000000000000001],[2.0],[-2.0],"[-0.023642298624782492, 0.04889751768167414, 0.11781034317280795, 0.18327752738938505, 0.2454713523951333, 0.30455548615059413, 0.36068541321828196, 1.6606854132182818]","[0.06453655206282627, 0.12584627652251124, 0.18409051475921193, 0.23942254108407762, 0.2919879660927, 0.34192511985089125, 0.38936541592117285, -2.3106345840788274]",0
1,12.088112354278564,12.195185422897339,10.752647876739502,7.963269948959351,5.768145561218262,4.277303457260132,1.4649345874786377,54.510047912597656,"[1, 0]",7,"[[4.0, 1.0, 1.5707963267948966, 1.0, 4.0, 0.0, 0.0], [4.0, 2.0, 0.0, 2.0, 4.0, 0.0, 1.0], [5.0, 2.0, 0.0, 3.0, 4.0, 0.0, 2.0], [6.0, 2.0, 0.0, 4.0, 4.0, 0.0, 3.0], [7.0, 2.0, 0.0, 5.0, 4.0, 0.0, 4.0], [8.0, 2.0, 0.0, 6.0, 4.0, 0.0, 5.0], [9.0, 2.0, 0.0, 7.0, 4.0, 0.0, 6.0], [10.0, 2.0, 1.5707963267948966, 8.0, 4.0, 0.0, 7.0]]","[-0.023642298624782492, -0.022460183693543367, -0.0213371745088662, -0.020270315783422886, -0.01925679999425174, -0.01829395999453915, -0.017379261994812194]","[-0.03546344793717374, -0.03369027554031505, -0.03200576176329929, -0.030405473675134326, -0.028885199991377612, -0.027440939991808723, -0.026068892992218286]","[0.0, 0.095, 0.09025, 0.0857375, 0.081450625, 0.07737809374999999, 0.07350918906249998]","[0.1, 0.095, 0.09025, 0.0857375, 0.081450625, 0.07737809374999999, 0.07350918906249998]",[-0.7000000000000001],[-0.7000000000000001],[2.0],[-2.0],"[-0.023642298624782492, 0.04889751768167414, 0.11781034317280795, 0.18327752738938505, 0.2454713523951333, 0.30455548615059413, 0.36068541321828196, 1.6606854132182818]","[0.06453655206282627, 0.12584627652251124, 0.18409051475921193, 0.23942254108407762, 0.2919879660927, 0.34192511985089125, 0.38936541592117285, -2.3106345840788274]",1
2,13.809637069702148,10.821741580963135,10.148897171020508,8.659885883331299,6.061296701431274,4.18735933303833,1.182185173034668,54.87155508995056,"[1, 0]",7,"[[4.0, 1.0, 1.5707963267948966, 1.0, 4.0, 0.0, 0.0], [4.0, 2.0, 0.0, 2.0, 4.0, 0.0, 1.0], [5.0, 2.0, 0.0, 3.0, 4.0, 0.0, 2.0], [6.0, 2.0, 0.0, 4.0, 4.0, 0.0, 3.0], [7.0, 2.0, 0.0, 5.0, 4.0, 0.0, 4.0], [8.0, 2.0, 0.0, 6.0, 4.0, 0.0, 5.0], [9.0, 2.0, 0.0, 7.0, 4.0, 0.0, 6.0], [10.0, 2.0, 1.5707963267948966, 8.0, 4.0, 0.0, 7.0]]","[-0.023642298624782492, -0.022460183693543367, -0.0213371745088662, -0.020270315783422886, -0.01925679999425174, -0.01829395999453915, -0.017379261994812194]","[-0.03546344793717374, -0.03369027554031505, -0.03200576176329929, -0.030405473675134326, -0.028885199991377612, -0.027440939991808723, -0.026068892992218286]","[0.0, 0.095, 0.09025, 0.0857375, 0.081450625, 0.07737809374999999, 0.07350918906249998]","[0.1, 0.095, 0.09025, 0.0857375, 0.081450625, 0.07737809374999999, 0.07350918906249998]",[-0.7000000000000001],[-0.7000000000000001],[2.0],[-2.0],"[-0.023642298624782492, 0.04889751768167414, 0.11781034317280795, 0.18327752738938505, 0.2454713523951333, 0.30455548615059413, 0.36068541321828196, 1.6606854132182818]","[0.06453655206282627, 0.12584627652251124, 0.18409051475921193, 0.23942254108407762, 0.2919879660927, 0.34192511985089125, 0.38936541592117285, -2.3106345840788274]",2
