agent,action,num_iter,runtime,payoff_mean,payoff_var
0,"[2.0, 1.5707963267948966]",100.0,1.04,0.3337789657482786,0.0004621120616501809
0,"[2.0, 1.5707963267948966]",600.0,5.45,0.33234183460847366,3.508142042158245e-05
0,"[2.0, 1.5707963267948966]",1100.0,9.59,0.3308118044426585,2.6614804172109772e-05
0,"[2.0, 1.5707963267948966]",1600.0,13.69,0.3292046272210768,2.617999507533241e-05
0,"[2.0, 1.5707963267948966]",2100.0,18.25,0.3325222778486778,9.42033613626565e-06
0,"[2.0, 1.5707963267948966]",2600.0,21.58,0.32969884314357323,1.6793468519332522e-05
0,"[2.0, 1.5707963267948966]",3100.0,25.43,0.32813290330004413,7.694851244763884e-06
0,"[2.0, 1.5707963267948966]",3600.0,28.22,0.3251633356924758,3.553206177866755e-06
0,"[2.0, 1.5707963267948966]",4100.0,32.0,0.32265540157820227,3.700154110987092e-06
0,"[2.0, 1.5707963267948966]",4600.0,35.34,0.32208408832865965,7.1872119502390885e-06
0,"[0.0, -1.5707963267948966]",100.0,1.04,0.3339961258900742,0.00011208093161662983
0,"[0.0, -1.5707963267948966]",600.0,5.45,0.3185169874750292,2.848981789828233e-05
0,"[0.0, -1.5707963267948966]",1100.0,9.59,0.32046593474003077,4.823452581041875e-06
0,"[0.0, -1.5707963267948966]",1600.0,13.69,0.32138512772961386,1.753307989446689e-05
0,"[0.0, -1.5707963267948966]",2100.0,18.25,0.31871621967827857,8.658392221000352e-06
0,"[0.0, -1.5707963267948966]",2600.0,21.58,0.31887270101124654,8.043401505419963e-06
0,"[0.0, -1.5707963267948966]",3100.0,25.43,0.31800473948791624,5.5083826174471356e-06
0,"[0.0, -1.5707963267948966]",3600.0,28.22,0.3152164258412021,6.512562382165702e-06
0,"[0.0, -1.5707963267948966]",4100.0,32.0,0.3125647190828286,2.0569526837258487e-06
0,"[0.0, -1.5707963267948966]",4600.0,35.34,0.3114051458683379,2.378614534547491e-06
0,"[0.0, 1.5707963267948966]",100.0,1.04,0.3279466160248729,0.00013553350704900474
0,"[0.0, 1.5707963267948966]",600.0,5.45,0.31899418073692953,4.708645294911941e-05
0,"[0.0, 1.5707963267948966]",1100.0,9.59,0.31676988169957093,1.75471241265409e-05
0,"[0.0, 1.5707963267948966]",1600.0,13.69,0.31623438453940916,7.1337322488716605e-06
0,"[0.0, 1.5707963267948966]",2100.0,18.25,0.31632730472603016,1.8906785919542195e-05
0,"[0.0, 1.5707963267948966]",2600.0,21.58,0.31636355941076344,3.075340952697986e-06
0,"[0.0, 1.5707963267948966]",3100.0,25.43,0.31432493740629497,6.504215521909999e-06
0,"[0.0, 1.5707963267948966]",3600.0,28.22,0.31223226516192104,3.257209563290498e-06
0,"[0.0, 1.5707963267948966]",4100.0,32.0,0.3098873484168013,3.511090246706838e-06
0,"[0.0, 1.5707963267948966]",4600.0,35.34,0.3080514624943565,2.0851988049569917e-06
0,"[0.0, 0.0]",100.0,1.04,0.3285964844632891,0.00015772188361414481
0,"[0.0, 0.0]",600.0,5.45,0.3198423369574018,1.4064952797265791e-05
0,"[0.0, 0.0]",1100.0,9.59,0.3192187164861138,2.149358201843986e-05
0,"[0.0, 0.0]",1600.0,13.69,0.3212383063971892,1.5780637726038628e-05
0,"[0.0, 0.0]",2100.0,18.25,0.3187211636626509,9.60373251047389e-06
0,"[0.0, 0.0]",2600.0,21.58,0.3208105361381828,5.684167285130574e-06
0,"[0.0, 0.0]",3100.0,25.43,0.31755468432996276,1.7483525436444866e-06
0,"[0.0, 0.0]",3600.0,28.22,0.316307415239466,2.369835098253982e-06
0,"[0.0, 0.0]",4100.0,32.0,0.31502138316054445,2.8652841147295674e-06
0,"[0.0, 0.0]",4600.0,35.34,0.3133646001418275,2.564255720344633e-06
0,"[1.0, 0.0]",100.0,1.04,0.3365544038976377,0.0004994663027446077
0,"[1.0, 0.0]",600.0,5.45,0.3246466102135831,2.4704793145842236e-05
0,"[1.0, 0.0]",1100.0,9.59,0.3228164792471827,2.6407755378945446e-05
0,"[1.0, 0.0]",1600.0,13.69,0.3224323930447587,1.1808247857966732e-05
0,"[1.0, 0.0]",2100.0,18.25,0.3222066484016818,1.8001516825067862e-05
0,"[1.0, 0.0]",2600.0,21.58,0.32223139559249037,4.566933335334872e-06
0,"[1.0, 0.0]",3100.0,25.43,0.3229605250451103,7.780649571685803e-06
0,"[1.0, 0.0]",3600.0,28.22,0.3201163356397997,5.455547817410734e-06
0,"[1.0, 0.0]",4100.0,32.0,0.3184023302493759,7.3794779308136035e-06
0,"[1.0, 0.0]",4600.0,35.34,0.31828775304268986,7.396108418766529e-06
0,"[2.0, 0.0]",100.0,1.04,0.3493393346586999,0.00025475430058719434
0,"[2.0, 0.0]",600.0,5.45,0.33311047827883467,3.9294515039510525e-05
0,"[2.0, 0.0]",1100.0,9.59,0.33373901282760204,5.1936188069369945e-05
0,"[2.0, 0.0]",1600.0,13.69,0.3348174233222537,1.1698680796992652e-05
0,"[2.0, 0.0]",2100.0,18.25,0.3329882304322526,8.364485349553106e-06
0,"[2.0, 0.0]",2600.0,21.58,0.3339787245732396,8.145121903262472e-06
0,"[2.0, 0.0]",3100.0,25.43,0.33320892080852993,5.079078939654383e-06
0,"[2.0, 0.0]",3600.0,28.22,0.33139289459214993,2.4023007154305346e-06
0,"[2.0, 0.0]",4100.0,32.0,0.33019502985206456,6.999129457592146e-06
0,"[2.0, 0.0]",4600.0,35.34,0.3293865638992882,2.2493136349569265e-06
0,"[2.0, -1.5707963267948966]",100.0,1.04,0.3242147054630188,0.0002512629014128476
0,"[2.0, -1.5707963267948966]",600.0,5.45,0.33661129383975025,2.047028719774534e-05
0,"[2.0, -1.5707963267948966]",1100.0,9.59,0.3353416335016121,3.0804718727714854e-05
0,"[2.0, -1.5707963267948966]",1600.0,13.69,0.3332999349882181,1.6387726339070653e-05
0,"[2.0, -1.5707963267948966]",2100.0,18.25,0.33450441716953155,1.2770302168312022e-05
0,"[2.0, -1.5707963267948966]",2600.0,21.58,0.3352427267590323,4.8685274868953e-06
0,"[2.0, -1.5707963267948966]",3100.0,25.43,0.3313932006512092,3.1623578618804195e-06
0,"[2.0, -1.5707963267948966]",3600.0,28.22,0.3277171476751978,3.6171099822251274e-06
0,"[2.0, -1.5707963267948966]",4100.0,32.0,0.32620643767986535,4.208581224044254e-06
0,"[2.0, -1.5707963267948966]",4600.0,35.34,0.3254107242615322,3.345137868931775e-06
0,"[1.0, 1.5707963267948966]",100.0,1.04,0.339223898900762,0.00011384252695996804
0,"[1.0, 1.5707963267948966]",600.0,5.45,0.3280094858411977,8.553903151930153e-06
0,"[1.0, 1.5707963267948966]",1100.0,9.59,0.32468217659999327,1.0269052662914585e-05
0,"[1.0, 1.5707963267948966]",1600.0,13.69,0.3258860997056669,1.2799769688970983e-05
0,"[1.0, 1.5707963267948966]",2100.0,18.25,0.3266027612995574,1.3148787660396625e-05
0,"[1.0, 1.5707963267948966]",2600.0,21.58,0.32537472445512183,2.0117208839945605e-06
0,"[1.0, 1.5707963267948966]",3100.0,25.43,0.32362917439485706,4.487104672780726e-06
0,"[1.0, 1.5707963267948966]",3600.0,28.22,0.32103750205876275,9.762311412567605e-06
0,"[1.0, 1.5707963267948966]",4100.0,32.0,0.31777974282539934,6.943323653586941e-06
0,"[1.0, 1.5707963267948966]",4600.0,35.34,0.31562027288273203,2.9489686482437225e-06
0,"[1.0, -1.5707963267948966]",100.0,1.04,0.33844636063073397,0.0001417902905628058
