game_length,weight_final,agent,action,num_iter,gamma_exp3,runtime,sum_payoffs,num_count,expected_payoff,num_run
2,1.0,1,"[0.0, 0.0]",3600.0,0.4,0.68,121.24999998181345,769,0.15767230166685753,7
2,1.0,1,"[1.0, 0.0]",3600.0,0.4,0.68,779.6249998830257,2831,0.2753885552395004,7
1,1.0,0,"[1.0, 0.0]",3600.0,0.4,0.41,793.7499998809059,2888,0.27484418278424716,7
1,1.0,0,"[0.0, 0.0]",3600.0,0.4,0.41,109.37499998359448,712,0.1536165730106664,7
1,1.0,1,"[1.0, 0.0]",3600.0,0.4,0.41,784.374999882313,2863,0.2739696122536895,7
1,1.0,1,"[0.0, 0.0]",3600.0,0.4,0.41,112.49999998312583,737,0.15264586157818974,7
2,1.0,0,"[0.0, 0.0]",3600.0,0.4,0.7,121.37499998179462,764,0.15886780102329137,8
2,1.0,0,"[1.0, 0.0]",3600.0,0.4,0.7,784.249999882332,2836,0.27653385045216217,8
2,1.0,1,"[0.0, 0.0]",3600.0,0.4,0.7,109.12499998363184,738,0.1478658536363575,8
2,1.0,1,"[1.0, 0.0]",3600.0,0.4,0.7,786.9999998819196,2862,0.2749825296582528,8
1,1.0,0,"[1.0, 0.0]",3600.0,0.4,0.42,788.1249998817502,2848,0.27672928366634486,8
1,1.0,0,"[0.0, 0.0]",3600.0,0.4,0.42,111.12499998333233,752,0.14777260636081427,8
1,1.0,1,"[0.0, 0.0]",3600.0,0.4,0.42,110.1249999834823,746,0.14762064340949368,8
1,1.0,1,"[1.0, 0.0]",3600.0,0.4,0.42,790.6249998813748,2854,0.2770234757818412,8
2,1.0,0,"[0.0, 0.0]",3600.0,0.4,0.69,111.124999983332,707,0.1571782177982065,9
2,1.0,0,"[1.0, 0.0]",3600.0,0.4,0.69,805.8749998790865,2893,0.27856031796719205,9
2,1.0,1,"[0.0, 0.0]",3600.0,0.4,0.69,118.87499998216958,784,0.15162627548746122,9
2,1.0,1,"[1.0, 0.0]",3600.0,0.4,0.69,766.6249998849771,2816,0.27223899143642655,9
1,1.0,0,"[0.0, 0.0]",3600.0,0.4,0.43,111.87499998321977,741,0.15097840753470954,9
1,1.0,0,"[1.0, 0.0]",3600.0,0.4,0.43,779.4999998830444,2859,0.27264777890277875,9
1,1.0,1,"[0.0, 0.0]",3600.0,0.4,0.43,103.2499999845132,672,0.1536458333102875,9
1,1.0,1,"[1.0, 0.0]",3600.0,0.4,0.43,805.3749998791615,2928,0.2750597677182928,9
2,1.0,0,"[0.0, 0.0]",3600.0,0.4,0.69,114.62499998280698,761,0.1506241786896281,10
2,1.0,0,"[1.0, 0.0]",3600.0,0.4,0.69,778.7499998831582,2839,0.27430433247029173,10
2,1.0,1,"[0.0, 0.0]",3600.0,0.4,0.69,116.12499998258198,741,0.15671390011144667,10
2,1.0,1,"[1.0, 0.0]",3600.0,0.4,0.69,791.499999881244,2859,0.2768450506754963,10
1,1.0,0,"[1.0, 0.0]",3600.0,0.4,0.42,796.6249998804748,2890,0.27564878888597744,10
1,1.0,0,"[0.0, 0.0]",3600.0,0.4,0.42,106.7499999839884,710,0.1503521126535048,10
1,1.0,1,"[0.0, 0.0]",3600.0,0.4,0.42,109.87499998351977,737,0.14908412480803226,10
1,1.0,1,"[1.0, 0.0]",3600.0,0.4,0.42,786.7499998819566,2863,0.27479916167724644,10
2,0.2,0,"[0.0, 0.0]",1600.0,0.3,0.31,13.374999997547906,264,0.050662878778590555,0
2,0.2,0,"[1.0, 0.0]",1600.0,0.3,0.31,123.04166664410768,1336,0.09209705587133808,0
2,0.2,1,"[0.0, 0.0]",1600.0,0.3,0.31,18.374999996631285,336,0.05468749998997406,0
2,0.2,1,"[1.0, 0.0]",1600.0,0.3,0.31,113.45833331253168,1264,0.08976133964599026,0
1,0.2,0,"[1.0, 0.0]",1600.0,0.3,0.19,115.08333331223366,1271,0.090545502212615,0
1,0.2,0,"[0.0, 0.0]",1600.0,0.3,0.19,17.333333330155586,329,0.05268490373907473,0
1,0.2,1,"[1.0, 0.0]",1600.0,0.3,0.19,118.08333331168352,1295,0.09118404116732318,0
1,0.2,1,"[0.0, 0.0]",1600.0,0.3,0.19,16.24999999702083,305,0.05327868851482239,0
2,0.2,0,"[0.0, 0.0]",1600.0,0.3,0.32,17.916666663381974,321,0.05581516094511518,1
2,0.2,0,"[1.0, 0.0]",1600.0,0.3,0.32,119.20833331147722,1279,0.09320432627949743,1
2,0.2,1,"[0.0, 0.0]",1600.0,0.3,0.32,20.458333329582693,368,0.05559329709125732,1
2,0.2,1,"[1.0, 0.0]",1600.0,0.3,0.32,112.33333331273799,1232,0.09117965366293668,1
1,0.2,0,"[1.0, 0.0]",1600.0,0.3,0.18,118.16666664500154,1293,0.09138953336813731,1
1,0.2,0,"[0.0, 0.0]",1600.0,0.3,0.18,15.208333330545127,307,0.04953854505063559,1
1,0.2,1,"[1.0, 0.0]",1600.0,0.3,0.18,118.29166664497862,1294,0.09141550745361562,1
1,0.2,1,"[0.0, 0.0]",1600.0,0.3,0.18,15.083333330568044,306,0.04929193898878446,1
2,0.2,0,"[0.0, 0.0]",1600.0,0.3,0.31,20.874999996173003,360,0.05798611110048056,2
2,0.2,0,"[1.0, 0.0]",1600.0,0.3,0.31,118.37499997829654,1240,0.09546370965991657,2
2,0.2,1,"[0.0, 0.0]",1600.0,0.3,0.31,23.958333328941134,406,0.05901067322399294,2
2,0.2,1,"[1.0, 0.0]",1600.0,0.3,0.31,108.4583333134484,1194,0.09083612505313937,2
1,0.2,0,"[0.0, 0.0]",1600.0,0.3,0.19,17.249999996837513,332,0.05195783131577564,2
1,0.2,0,"[1.0, 0.0]",1600.0,0.3,0.19,116.2083333120274,1268,0.09164695056153581,2
1,0.2,1,"[0.0, 0.0]",1600.0,0.3,0.19,17.3749999968146,335,0.051865671632282395,2
1,0.2,1,"[1.0, 0.0]",1600.0,0.3,0.19,115.83333331209616,1265,0.09156785242062937,2
2,0.2,0,"[0.0, 0.0]",1600.0,0.3,0.31,16.99999999688334,309,0.05501618121968718,3
2,0.2,0,"[1.0, 0.0]",1600.0,0.3,0.31,116.99999997854886,1291,0.0906274205875669,3
2,0.2,1,"[0.0, 0.0]",1600.0,0.3,0.31,18.458333329949323,313,0.05897231095830455,3
2,0.2,1,"[1.0, 0.0]",1600.0,0.3,0.31,119.12499997815932,1287,0.09256021754324734,3
1,0.2,0,"[1.0, 0.0]",1600.0,0.3,0.18,117.12499997852593,1276,0.09179075233426798,3
1,0.2,0,"[0.0, 0.0]",1600.0,0.3,0.18,16.916666663565284,324,0.05221193414680643,3
1,0.2,1,"[0.0, 0.0]",1600.0,0.3,0.18,17.541666663450723,341,0.051441837722729394,3
1,0.2,1,"[1.0, 0.0]",1600.0,0.3,0.18,115.08333331223365,1259,0.09140852526785834,3
2,0.2,0,"[1.0, 0.0]",1600.0,0.3,0.31,121.41666664440557,1285,0.0944876783224946,5
2,0.2,0,"[0.0, 0.0]",1600.0,0.3,0.31,18.374999996631278,315,0.05833333332263898,5
2,0.2,1,"[1.0, 0.0]",1600.0,0.3,0.31,110.91666664633104,1234,0.0898838465529425,5
2,0.2,1,"[0.0, 0.0]",1600.0,0.3,0.31,19.291666663129924,366,0.052709471757185586,5
1,0.2,0,"[1.0, 0.0]",1600.0,0.3,0.18,116.45833331198149,1272,0.09155529348426218,5
1,0.2,0,"[0.0, 0.0]",1600.0,0.3,0.18,16.499999996975,328,0.050304878039557924,5
1,0.2,1,"[1.0, 0.0]",1600.0,0.3,0.18,117.58333331177525,1281,0.09179026800294711,5
1,0.2,1,"[0.0, 0.0]",1600.0,0.3,0.18,16.12499999704374,319,0.05054858933242552,5
2,0.2,0,"[0.0, 0.0]",1600.0,0.3,0.31,18.2499999966542,305,0.059836065562800654,6
2,0.2,0,"[1.0, 0.0]",1600.0,0.3,0.31,121.95833331097276,1295,0.09417631915905232,6
2,0.2,1,"[0.0, 0.0]",1600.0,0.3,0.31,20.12499999631048,361,0.05574792242745285,6
2,0.2,1,"[1.0, 0.0]",1600.0,0.3,0.31,109.58333331324218,1239,0.0884449824965635,6
1,0.2,0,"[1.0, 0.0]",1600.0,0.3,0.18,118.6666666449099,1306,0.0908626850267304,6
1,0.2,0,"[0.0, 0.0]",1600.0,0.3,0.18,14.749999997295822,294,0.050170068018013,6
1,0.2,1,"[0.0, 0.0]",1600.0,0.3,0.18,14.749999997295822,296,0.049831081071945345,6
1,0.2,1,"[1.0, 0.0]",1600.0,0.3,0.18,118.49999997827379,1304,0.09087423311217316,6
2,0.2,0,"[0.0, 0.0]",1600.0,0.3,0.31,17.374999996814598,341,0.05095307916954427,7
2,0.2,0,"[1.0, 0.0]",1600.0,0.3,0.31,117.16666664518509,1259,0.09306327771658864,7
2,0.2,1,"[0.0, 0.0]",1600.0,0.3,0.31,14.999999997249988,301,0.049833887034053115,7
2,0.2,1,"[1.0, 0.0]",1600.0,0.3,0.31,118.79166664488699,1299,0.09144855015002848,7
1,0.2,0,"[0.0, 0.0]",1600.0,0.3,0.18,17.12499999686044,316,0.054193037964748225,7
1,0.2,0,"[1.0, 0.0]",1600.0,0.3,0.18,117.79166664507034,1284,0.09173805813478998,7
1,0.2,1,"[1.0, 0.0]",1600.0,0.3,0.18,113.12499997925944,1246,0.09079052967837836,7
1,0.2,1,"[0.0, 0.0]",1600.0,0.3,0.18,18.624999996585494,354,0.05261299434063699,7
2,0.2,0,"[1.0, 0.0]",1600.0,0.3,0.3,121.1249999777925,1316,0.092040273539356,8
2,0.2,0,"[0.0, 0.0]",1600.0,0.3,0.3,15.499999997158321,284,0.054577464778726485,8
2,0.2,1,"[1.0, 0.0]",1600.0,0.3,0.3,115.87499997875513,1273,0.0910251374538532,8
2,0.2,1,"[0.0, 0.0]",1600.0,0.3,0.3,17.416666663473627,327,0.053261977564139536,8
1,0.2,0,"[1.0, 0.0]",1600.0,0.3,0.18,120.37499997792997,1318,0.09133156295745826,8
1,0.2,0,"[0.0, 0.0]",1600.0,0.3,0.18,14.208333330728461,282,0.05038416074726405,8
1,0.2,1,"[1.0, 0.0]",1600.0,0.3,0.18,116.87499997857175,1290,0.0906007751771874,8
1,0.2,1,"[0.0, 0.0]",1600.0,0.3,0.18,15.291666663863182,310,0.04932795698020381,8
2,0.2,0,"[0.0, 0.0]",1600.0,0.3,0.3,14.333333330705544,277,0.05174488567041713,9
2,0.2,0,"[1.0, 0.0]",1600.0,0.3,0.3,124.12499997724224,1323,0.0938208616608029,9
2,0.2,1,"[1.0, 0.0]",1600.0,0.3,0.3,114.6249999789844,1274,0.08997252745603171,9
2,0.2,1,"[0.0, 0.0]",1600.0,0.3,0.3,17.083333330201405,326,0.05240286297607793,9
1,0.2,0,"[0.0, 0.0]",1600.0,0.3,0.18,15.249999997204155,286,0.05332167831190264,9
1,0.2,0,"[1.0, 0.0]",1600.0,0.3,0.18,120.7916666445202,1314,0.09192668694407931,9
1,0.2,1,"[0.0, 0.0]",1600.0,0.3,0.18,18.041666663359074,353,0.051109537289969045,9
1,0.2,1,"[1.0, 0.0]",1600.0,0.3,0.18,112.4999999793741,1247,0.09021651963061275,9
2,0.2,0,"[1.0, 0.0]",1600.0,0.3,0.3,120.16666664463476,1314,0.09145104006441002,10
2,0.2,0,"[0.0, 0.0]",1600.0,0.3,0.3,16.87499999690625,286,0.0590034964926792,10
2,0.2,1,"[0.0, 0.0]",1600.0,0.3,0.3,20.916666662832014,359,0.05826369543964349,10
2,0.2,1,"[1.0, 0.0]",1600.0,0.3,0.3,113.70833331248583,1241,0.09162637656122952,10
1,0.2,0,"[1.0, 0.0]",1600.0,0.3,0.18,114.2083333123941,1247,0.09158647418796641,10
1,0.2,0,"[0.0, 0.0]",1600.0,0.3,0.18,18.41666666329034,353,0.05217186023594997,10
1,0.2,1,"[1.0, 0.0]",1600.0,0.3,0.18,116.3333333120044,1264,0.0920358649620288,10
1,0.2,1,"[0.0, 0.0]",1600.0,0.3,0.18,17.70833333008684,336,0.052703373006210835,10
2,0.5,0,"[1.0, 0.0]",1600.0,0.2,0.31,236.6666666272226,1333,0.17754438606693368,0
