agent,action,num_iter,runtime,payoff_mean,payoff_var
0,"[2.0, 1.5707963267948966]",100.0,1.33,0.2817346788374865,8.978558360957308e-05
0,"[2.0, 1.5707963267948966]",600.0,7.31,0.28838442636349015,1.6828650568017977e-05
0,"[2.0, 1.5707963267948966]",1100.0,13.76,0.2916301813542305,1.1039911657672734e-05
0,"[2.0, 1.5707963267948966]",1600.0,19.47,0.2911057507530357,6.069891884999533e-06
0,"[2.0, 1.5707963267948966]",2100.0,24.43,0.28906794388279977,1.2322386417697824e-05
0,"[2.0, 1.5707963267948966]",2600.0,29.85,0.28930691912927686,3.9536311790185105e-06
0,"[2.0, 1.5707963267948966]",3100.0,28.45,0.2902592005200991,2.6260410980533e-06
0,"[2.0, 1.5707963267948966]",3600.0,30.92,0.2897740772422568,2.831577706256047e-06
0,"[2.0, 1.5707963267948966]",4100.0,35.91,0.28963812073736805,4.48071665170453e-06
0,"[2.0, 1.5707963267948966]",4600.0,39.26,0.28948951329272254,2.7269362783692435e-06
0,"[1.0, 0.0]",100.0,1.33,0.28772028789541204,9.81463857276788e-05
0,"[1.0, 0.0]",600.0,7.31,0.3013699842472385,3.0204072253868515e-05
0,"[1.0, 0.0]",1100.0,13.76,0.302015413930232,1.267842133580951e-05
0,"[1.0, 0.0]",1600.0,19.47,0.29867057539977526,1.6453717000404825e-05
0,"[1.0, 0.0]",2100.0,24.43,0.3018543498739902,1.7310909857664238e-06
0,"[1.0, 0.0]",2600.0,29.85,0.3009313962509876,5.342323383373951e-06
0,"[1.0, 0.0]",3100.0,28.45,0.30051494555690544,4.268292290811005e-06
0,"[1.0, 0.0]",3600.0,30.92,0.2994191588463987,2.6357326821552245e-06
0,"[1.0, 0.0]",4100.0,35.91,0.30069639337355686,3.065011545449707e-06
0,"[1.0, 0.0]",4600.0,39.26,0.29984396732777635,3.818396009773862e-06
0,"[2.0, -1.5707963267948966]",100.0,1.33,0.29123113196654715,0.00016345729992880384
0,"[2.0, -1.5707963267948966]",600.0,7.31,0.29638411871606307,3.1156471585143255e-05
0,"[2.0, -1.5707963267948966]",1100.0,13.76,0.29542994053481153,1.8242412408361295e-05
0,"[2.0, -1.5707963267948966]",1600.0,19.47,0.2960283381963409,2.014407435360323e-06
