agent,action,num_iter,runtime,payoff_mean,payoff_var
0,"[2.0, 1.5707963267948966]",100.0,3.1,0.3436315361697629,0.00012121073714594583
0,"[2.0, 1.5707963267948966]",600.0,21.67,0.3387785168470033,1.5098825261815516e-05
0,"[2.0, 1.5707963267948966]",1100.0,36.49,0.33810386297682926,1.0278599683003449e-05
0,"[2.0, 1.5707963267948966]",1600.0,47.91,0.33915660579699536,9.03484545718265e-06
0,"[2.0, 1.5707963267948966]",2100.0,62.1,0.33826344207888664,5.321777436446492e-06
0,"[2.0, 1.5707963267948966]",2600.0,72.01,0.3369701420779734,1.2498337362658325e-05
0,"[2.0, 1.5707963267948966]",3100.0,73.87,0.3354289564625264,3.4636738984520915e-06
0,"[2.0, 1.5707963267948966]",3600.0,82.48,0.33402062064391713,1.5637727256300327e-06
0,"[2.0, 1.5707963267948966]",4100.0,100.35,0.3315562897785812,1.2498122670642447e-06
0,"[2.0, 1.5707963267948966]",4600.0,106.0,0.33086095628322804,3.6823412561595785e-07
0,"[1.0, 0.0]",100.0,3.1,0.344786736841774,0.0001722096583493461
0,"[1.0, 0.0]",600.0,21.67,0.3356293896527989,1.3339233726784763e-05
0,"[1.0, 0.0]",1100.0,36.49,0.33550155058702086,2.708953104082309e-05
0,"[1.0, 0.0]",1600.0,47.91,0.3339088826698899,2.699961479144906e-06
0,"[1.0, 0.0]",2100.0,62.1,0.3341285432509916,5.1260666687796385e-06
0,"[1.0, 0.0]",2600.0,72.01,0.3337963689307273,2.704360209495244e-06
0,"[1.0, 0.0]",3100.0,73.87,0.3336729526111125,2.2440534594760313e-06
0,"[1.0, 0.0]",3600.0,82.48,0.33134642963654826,5.698509360277952e-06
0,"[1.0, 0.0]",4100.0,100.35,0.3300510467212055,2.4230411044472765e-06
0,"[1.0, 0.0]",4600.0,106.0,0.3273275263371181,2.2065182834261977e-06
0,"[2.0, -1.5707963267948966]",100.0,3.1,0.3413565405701821,0.0001995459481198145
0,"[2.0, -1.5707963267948966]",600.0,21.67,0.33868567466279564,2.008182759146899e-05
0,"[2.0, -1.5707963267948966]",1100.0,36.49,0.33914937410245766,1.4424724012103513e-05
0,"[2.0, -1.5707963267948966]",1600.0,47.91,0.34072544358314844,6.740795564871564e-06
0,"[2.0, -1.5707963267948966]",2100.0,62.1,0.3379829444619114,4.222965859834044e-06
0,"[2.0, -1.5707963267948966]",2600.0,72.01,0.33873741985851286,6.276711844118784e-06
0,"[2.0, -1.5707963267948966]",3100.0,73.87,0.33761847663455685,5.820937110164439e-07
0,"[2.0, -1.5707963267948966]",3600.0,82.48,0.3359575595811599,3.360588471021319e-07
0,"[2.0, -1.5707963267948966]",4100.0,100.35,0.33384652645136925,1.8869811845375286e-06
0,"[2.0, -1.5707963267948966]",4600.0,106.0,0.33141374928317474,2.737361230781209e-06
0,"[0.0, 1.5707963267948966]",100.0,3.1,0.3542117847632137,7.427569414969098e-05
0,"[0.0, 1.5707963267948966]",600.0,21.67,0.3433037089805767,1.9912813478370567e-05
0,"[0.0, 1.5707963267948966]",1100.0,36.49,0.3417965786112903,1.528239829615777e-06
0,"[0.0, 1.5707963267948966]",1600.0,47.91,0.3418823237898189,5.217674038952184e-06
0,"[0.0, 1.5707963267948966]",2100.0,62.1,0.3419499097942277,3.703747374547871e-06
0,"[0.0, 1.5707963267948966]",2600.0,72.01,0.340972545296259,1.4440070637910654e-06
0,"[0.0, 1.5707963267948966]",3100.0,73.87,0.33974808972767256,1.4878001020185072e-06
0,"[0.0, 1.5707963267948966]",3600.0,82.48,0.3363213245708138,1.233468469815359e-06
0,"[0.0, 1.5707963267948966]",4100.0,100.35,0.333988762348975,7.477404762053288e-07
0,"[0.0, 1.5707963267948966]",4600.0,106.0,0.3319929215203804,2.740455540303069e-07
0,"[2.0, 0.0]",100.0,3.1,0.3368049143780244,0.00012177896618156787
0,"[2.0, 0.0]",600.0,21.67,0.34361113207575,3.8962863102624084e-05
0,"[2.0, 0.0]",1100.0,36.49,0.33660398689201143,1.9605982647513745e-06
