agent,action,num_iter,runtime,payoff_mean,payoff_var
0,"[2.0, 0.0]",100.0,3.7,0.36281043453295253,0.00022220623954868953
0,"[2.0, 0.0]",600.0,25.4,0.3657727740645229,2.8986211150671055e-05
0,"[2.0, 0.0]",1100.0,41.19,0.3627665814811943,2.6451878978005898e-05
0,"[2.0, 0.0]",1600.0,55.48,0.3626114065476469,2.175170734945808e-05
0,"[2.0, 0.0]",2100.0,72.63,0.36329848377341956,1.2408410995167822e-05
0,"[2.0, 0.0]",2600.0,73.55,0.3630735584559487,1.5939260858274225e-05
0,"[2.0, 0.0]",3100.0,85.5,0.36189156337219874,6.887294715386225e-06
0,"[2.0, 0.0]",3600.0,98.92,0.35972017562215713,3.4272122158648405e-06
0,"[2.0, 0.0]",4100.0,111.08,0.3589099286287869,6.893908127618364e-06
0,"[2.0, 0.0]",4600.0,111.91,0.35649320151478836,2.2325192900326977e-06
0,"[2.0, -1.5707963267948966]",100.0,3.7,0.35439325527238374,8.255687621171585e-05
0,"[2.0, -1.5707963267948966]",600.0,25.4,0.359415774020977,3.189331573001482e-05
0,"[2.0, -1.5707963267948966]",1100.0,41.19,0.3568604156707936,9.960889867731754e-06
0,"[2.0, -1.5707963267948966]",1600.0,55.48,0.3573686683627336,8.339093972752043e-06
0,"[2.0, -1.5707963267948966]",2100.0,72.63,0.3588256288037632,3.360241249864546e-06
0,"[2.0, -1.5707963267948966]",2600.0,73.55,0.3585258460899369,2.6558932049630254e-06
0,"[2.0, -1.5707963267948966]",3100.0,85.5,0.35587195115215114,5.433550449939198e-06
0,"[2.0, -1.5707963267948966]",3600.0,98.92,0.3544666475606518,2.7931973298390803e-06
0,"[2.0, -1.5707963267948966]",4100.0,111.08,0.3519275897939903,2.00462043169779e-06
0,"[2.0, -1.5707963267948966]",4600.0,111.91,0.34967400242724783,2.3155256835872604e-06
0,"[1.0, -1.5707963267948966]",100.0,3.7,0.36598597820079537,3.5895888183965185e-05
0,"[1.0, -1.5707963267948966]",600.0,25.4,0.35724564614167703,2.9587016089723486e-05
0,"[1.0, -1.5707963267948966]",1100.0,41.19,0.35902086035325687,9.697634358091029e-06
0,"[1.0, -1.5707963267948966]",1600.0,55.48,0.35873825261811043,7.027075862375016e-06
0,"[1.0, -1.5707963267948966]",2100.0,72.63,0.3570519835314331,4.878286563558662e-06
0,"[1.0, -1.5707963267948966]",2600.0,73.55,0.357726545711612,2.7201711235971326e-06
0,"[1.0, -1.5707963267948966]",3100.0,85.5,0.35392294629774756,4.3099652699789485e-06
0,"[1.0, -1.5707963267948966]",3600.0,98.92,0.35200494860568804,1.5925324813573359e-06
0,"[1.0, -1.5707963267948966]",4100.0,111.08,0.349808357617154,1.103481754314357e-06
0,"[1.0, -1.5707963267948966]",4600.0,111.91,0.34856568903009544,1.0036283559310555e-06
0,"[2.0, 1.5707963267948966]",100.0,3.7,0.3465308507694517,0.00010308475884811575
0,"[2.0, 1.5707963267948966]",600.0,25.4,0.35862054760738027,1.724605991702727e-05
0,"[2.0, 1.5707963267948966]",1100.0,41.19,0.3566179369094245,1.2105193040000192e-05
0,"[2.0, 1.5707963267948966]",1600.0,55.48,0.35842150796180183,1.1334839350955922e-05
0,"[2.0, 1.5707963267948966]",2100.0,72.63,0.35826765172683234,5.430264663153265e-06
0,"[2.0, 1.5707963267948966]",2600.0,73.55,0.35772762535738245,3.0460187951707337e-06
0,"[2.0, 1.5707963267948966]",3100.0,85.5,0.3553324236972296,2.321606693211419e-06
0,"[2.0, 1.5707963267948966]",3600.0,98.92,0.3535238903546706,3.87705871052391e-06
0,"[2.0, 1.5707963267948966]",4100.0,111.08,0.3514634607413009,9.536809671769121e-07
0,"[2.0, 1.5707963267948966]",4600.0,111.91,0.34991997668089464,2.571397626494518e-06
0,"[1.0, 0.0]",100.0,3.7,0.3438354747757828,0.00039071982379883707
0,"[1.0, 0.0]",600.0,25.4,0.35462338460698895,6.867271948209301e-05
0,"[1.0, 0.0]",1100.0,41.19,0.35260957328012166,1.6025749244661752e-05
0,"[1.0, 0.0]",1600.0,55.48,0.35070441747197595,1.1160387947627219e-05
0,"[1.0, 0.0]",2100.0,72.63,0.3505790332435149,1.1792495648191626e-05
0,"[1.0, 0.0]",2600.0,73.55,0.35150733432684433,5.50081271460306e-06
0,"[1.0, 0.0]",3100.0,85.5,0.35109829323364034,5.4927147121772475e-06
