agent,action,num_iter,runtime,payoff_mean,payoff_var
0,"[2.0, 0.0]",100.0,3.1,0.45356977238029506,0.0013924661097720976
0,"[2.0, 0.0]",600.0,19.96,0.4741941318472409,5.373144680849153e-05
0,"[2.0, 0.0]",1100.0,30.79,0.47050826965565423,2.5011841013445576e-05
0,"[2.0, 0.0]",1600.0,43.17,0.46970817443849044,4.826011212856189e-05
0,"[2.0, 0.0]",2100.0,56.37,0.4722673115356571,8.097301586175201e-06
0,"[2.0, 0.0]",2600.0,56.71,0.47204962747117873,3.230045186158072e-05
0,"[2.0, 0.0]",3100.0,65.09,0.4709801609029414,4.389713881337976e-06
0,"[2.0, 0.0]",3600.0,76.43,0.46824457883119724,5.017010288098961e-06
0,"[2.0, 0.0]",4100.0,85.37,0.4655236221976574,4.92049963992934e-06
0,"[2.0, 0.0]",4600.0,85.9,0.46542390012364443,5.770559068206313e-06
0,"[2.0, -1.5707963267948966]",100.0,3.1,0.4685475274915998,0.00026665602412787227
0,"[2.0, -1.5707963267948966]",600.0,19.96,0.47658465003020234,0.00010450446053534001
0,"[2.0, -1.5707963267948966]",1100.0,30.79,0.4749031203312879,2.4747105785372878e-05
0,"[2.0, -1.5707963267948966]",1600.0,43.17,0.4763675406893825,2.113150159553113e-05
0,"[2.0, -1.5707963267948966]",2100.0,56.37,0.4759022940338305,6.793494500570886e-06
0,"[2.0, -1.5707963267948966]",2600.0,56.71,0.4761562458489351,7.395973057230646e-06
0,"[2.0, -1.5707963267948966]",3100.0,65.09,0.4747083688027433,2.7376035835706247e-06
0,"[2.0, -1.5707963267948966]",3600.0,76.43,0.4702736404710771,5.906837815929544e-06
0,"[2.0, -1.5707963267948966]",4100.0,85.37,0.4675816220441894,2.8232029648772365e-06
0,"[2.0, -1.5707963267948966]",4600.0,85.9,0.46481564974252604,2.639512177073781e-06
0,"[1.0, -1.5707963267948966]",100.0,3.1,0.4917965927945868,0.00013554514481203312
0,"[1.0, -1.5707963267948966]",600.0,19.96,0.47980185251863217,4.5696356634574e-05
0,"[1.0, -1.5707963267948966]",1100.0,30.79,0.4801118050239893,1.84897303270784e-05
0,"[1.0, -1.5707963267948966]",1600.0,43.17,0.4799855777021679,1.3671890813593265e-05
0,"[1.0, -1.5707963267948966]",2100.0,56.37,0.4785515485565724,9.576771707927493e-06
0,"[1.0, -1.5707963267948966]",2600.0,56.71,0.4772623602437454,4.990322535245648e-06
0,"[1.0, -1.5707963267948966]",3100.0,65.09,0.4760887437500432,2.441267929157639e-06
0,"[1.0, -1.5707963267948966]",3600.0,76.43,0.4715755308071786,6.509485793389305e-06
0,"[1.0, -1.5707963267948966]",4100.0,85.37,0.467434049338127,3.7493410482297654e-06
0,"[1.0, -1.5707963267948966]",4600.0,85.9,0.4657213890806249,5.082069567581747e-06
0,"[2.0, 1.5707963267948966]",100.0,3.1,0.4771624327536645,0.00020904854201637312
0,"[2.0, 1.5707963267948966]",600.0,19.96,0.47403570164363373,6.507430295163174e-05
0,"[2.0, 1.5707963267948966]",1100.0,30.79,0.4733305489600316,2.7755632023322317e-05
0,"[2.0, 1.5707963267948966]",1600.0,43.17,0.47655554186995086,1.370562620613194e-05
0,"[2.0, 1.5707963267948966]",2100.0,56.37,0.4749975808972623,2.1352312226053705e-05
0,"[2.0, 1.5707963267948966]",2600.0,56.71,0.4755432998890951,6.923339194730864e-06
0,"[2.0, 1.5707963267948966]",3100.0,65.09,0.4716899941858343,8.943262422949814e-06
0,"[2.0, 1.5707963267948966]",3600.0,76.43,0.4703255863732271,8.485685463555085e-06
0,"[2.0, 1.5707963267948966]",4100.0,85.37,0.4665824087512796,1.6486839888667884e-06
0,"[2.0, 1.5707963267948966]",4600.0,85.9,0.4640370615148869,1.9076038152292454e-06
0,"[1.0, 0.0]",100.0,3.1,0.46529649126168604,0.000867408296240823
0,"[1.0, 0.0]",600.0,19.96,0.460525778129801,7.300495129411711e-05
0,"[1.0, 0.0]",1100.0,30.79,0.4587555788449943,5.9822254791034256e-05
0,"[1.0, 0.0]",1600.0,43.17,0.460153472534948,3.125733507909046e-05
0,"[1.0, 0.0]",2100.0,56.37,0.46280835946057497,1.7742162687006326e-05
0,"[1.0, 0.0]",2600.0,56.71,0.45884802799771157,1.168236507429332e-05
0,"[1.0, 0.0]",3100.0,65.09,0.4605360143692743,8.79717146722735e-06
0,"[1.0, 0.0]",3600.0,76.43,0.4585107121840276,1.1298014593748918e-05
0,"[1.0, 0.0]",4100.0,85.37,0.4571503394800562,7.2595546251937986e-06
0,"[1.0, 0.0]",4600.0,85.9,0.45607586102561476,4.068423827884983e-06
0,"[0.0, -1.5707963267948966]",100.0,3.1,0.5040856976538339,0.00013907101622710202
0,"[0.0, -1.5707963267948966]",600.0,19.96,0.48274361101227603,2.267343908025506e-05
0,"[0.0, -1.5707963267948966]",1100.0,30.79,0.4813642909216543,3.4786041936306636e-05
0,"[0.0, -1.5707963267948966]",1600.0,43.17,0.4795101729714236,5.615921768133736e-06
0,"[0.0, -1.5707963267948966]",2100.0,56.37,0.478906921527048,5.910934803436012e-06
0,"[0.0, -1.5707963267948966]",2600.0,56.71,0.47926042458024876,1.1478702797384409e-05
0,"[0.0, -1.5707963267948966]",3100.0,65.09,0.4750754303199775,5.017613756893344e-06
0,"[0.0, -1.5707963267948966]",3600.0,76.43,0.4722318089586325,4.096084786083874e-06
0,"[0.0, -1.5707963267948966]",4100.0,85.37,0.467571761619177,2.254482232178774e-06
0,"[0.0, -1.5707963267948966]",4600.0,85.9,0.46423420466184967,2.0397632394196105e-06
0,"[1.0, 1.5707963267948966]",100.0,3.1,0.4909209933840543,0.00032331854104519916
0,"[1.0, 1.5707963267948966]",600.0,19.96,0.4802093836707745,4.6339284828258274e-05
0,"[1.0, 1.5707963267948966]",1100.0,30.79,0.48121662753412986,1.304435443109128e-05
0,"[1.0, 1.5707963267948966]",1600.0,43.17,0.4788818857867315,1.0294108408569351e-05
0,"[1.0, 1.5707963267948966]",2100.0,56.37,0.4804145362190321,9.824588076727298e-06
0,"[1.0, 1.5707963267948966]",2600.0,56.71,0.4776931023789371,2.0917702208312227e-06
0,"[1.0, 1.5707963267948966]",3100.0,65.09,0.4740322703713632,5.591078802812046e-06
0,"[1.0, 1.5707963267948966]",3600.0,76.43,0.4718474319773896,2.8803885840248033e-06
0,"[1.0, 1.5707963267948966]",4100.0,85.37,0.4674475800774382,3.0282315205635413e-06
0,"[1.0, 1.5707963267948966]",4600.0,85.9,0.46520325910511656,2.0570275510301667e-06
0,"[0.0, 0.0]",100.0,3.1,0.482066286272026,0.00022275412779665298
0,"[0.0, 0.0]",600.0,19.96,0.4657047680693833,5.17862031854868e-05
0,"[0.0, 0.0]",1100.0,30.79,0.46529831767779284,4.631422512053624e-05
0,"[0.0, 0.0]",1600.0,43.17,0.46437524369045147,2.8423557307681773e-05
0,"[0.0, 0.0]",2100.0,56.37,0.4641282769667738,2.4425419986576777e-05
0,"[0.0, 0.0]",2600.0,56.71,0.46161337445512807,1.0668775093763298e-05
0,"[0.0, 0.0]",3100.0,65.09,0.4636213930011783,9.540411149209949e-06
0,"[0.0, 0.0]",3600.0,76.43,0.46012951216334885,7.917635217720276e-06
0,"[0.0, 0.0]",4100.0,85.37,0.4576610470732686,9.336589305422132e-06
0,"[0.0, 0.0]",4600.0,85.9,0.4548461930962291,1.088554791669132e-05
0,"[0.0, 1.5707963267948966]",100.0,3.1,0.5005526912817927,5.854336915333363e-05
0,"[0.0, 1.5707963267948966]",600.0,19.96,0.4809217001000682,8.259003791648729e-05
0,"[0.0, 1.5707963267948966]",1100.0,30.79,0.48144336113531894,1.1999132779144165e-05
0,"[0.0, 1.5707963267948966]",1600.0,43.17,0.48007743842510886,4.149640987042475e-06
0,"[0.0, 1.5707963267948966]",2100.0,56.37,0.4807912372719979,5.108309016836575e-06
0,"[0.0, 1.5707963267948966]",2600.0,56.71,0.479056887199373,4.885480678590065e-06
0,"[0.0, 1.5707963267948966]",3100.0,65.09,0.4758530729070521,1.669943328091226e-06
0,"[0.0, 1.5707963267948966]",3600.0,76.43,0.47163699177026813,6.037372771031601e-07
0,"[0.0, 1.5707963267948966]",4100.0,85.37,0.467782666761693,1.6864925426776909e-06
0,"[0.0, 1.5707963267948966]",4600.0,85.9,0.4647496428605396,1.2835543431633388e-06
1,"[0.0, 1.5707963267948966]",100.0,3.1,0.4308253394691282,0.00022767731283381804
1,"[0.0, 1.5707963267948966]",600.0,19.96,0.4182304838928365,2.0922693105580322e-05
1,"[0.0, 1.5707963267948966]",1100.0,30.79,0.422408072759186,1.8002733798119488e-05
1,"[0.0, 1.5707963267948966]",1600.0,43.17,0.4216170603870529,1.3773802184046174e-05
1,"[0.0, 1.5707963267948966]",2100.0,56.37,0.42264258308776503,4.1396266847140724e-06
1,"[0.0, 1.5707963267948966]",2600.0,56.71,0.4218410312702637,1.8101806626780026e-06
1,"[0.0, 1.5707963267948966]",3100.0,65.09,0.42033265208982595,5.345468081476761e-06
1,"[0.0, 1.5707963267948966]",3600.0,76.43,0.41902139631399604,3.064354539497426e-06
1,"[0.0, 1.5707963267948966]",4100.0,85.37,0.4155681344313907,1.378406987347558e-06
1,"[0.0, 1.5707963267948966]",4600.0,85.9,0.4136782400010458,3.783850364512038e-06
1,"[1.0, -1.5707963267948966]",100.0,3.1,0.45119898250576657,0.00010019281950532777
1,"[1.0, -1.5707963267948966]",600.0,19.96,0.4365282510266538,4.805507626225376e-05
1,"[1.0, -1.5707963267948966]",1100.0,30.79,0.4349458841201549,3.365740446985e-05
1,"[1.0, -1.5707963267948966]",1600.0,43.17,0.4353687554507041,1.4501335629670363e-05
1,"[1.0, -1.5707963267948966]",2100.0,56.37,0.43449741271585296,5.710753201109162e-06
1,"[1.0, -1.5707963267948966]",2600.0,56.71,0.43419846135312357,6.845566267673727e-06
1,"[1.0, -1.5707963267948966]",3100.0,65.09,0.4314731394288576,2.841029700409744e-06
1,"[1.0, -1.5707963267948966]",3600.0,76.43,0.4277401932553012,2.6804283143410504e-06
1,"[1.0, -1.5707963267948966]",4100.0,85.37,0.42417999782952565,2.6151374783366227e-06
1,"[1.0, -1.5707963267948966]",4600.0,85.9,0.42133923863463485,2.8077955359788876e-06
1,"[1.0, 0.0]",100.0,3.1,0.4456352226217179,0.0005223458099894923
1,"[1.0, 0.0]",600.0,19.96,0.43669620811563165,3.0144015276870977e-05
1,"[1.0, 0.0]",1100.0,30.79,0.4382555610062603,3.261094233684821e-05
1,"[1.0, 0.0]",1600.0,43.17,0.4378067897151444,6.984351239214668e-06
1,"[1.0, 0.0]",2100.0,56.37,0.4381322937849809,4.30201483197611e-06
1,"[1.0, 0.0]",2600.0,56.71,0.43639693859273593,6.175272703230793e-06
1,"[1.0, 0.0]",3100.0,65.09,0.4333794089885174,1.1216664932324998e-06
1,"[1.0, 0.0]",3600.0,76.43,0.42994030889088475,4.139729557148907e-06
1,"[1.0, 0.0]",4100.0,85.37,0.42713875952731434,4.236536776496007e-06
1,"[1.0, 0.0]",4600.0,85.9,0.42544433768437884,1.296516822418704e-06
1,"[1.0, 1.5707963267948966]",100.0,3.1,0.4504894081815059,0.00017091935288680616
1,"[1.0, 1.5707963267948966]",600.0,19.96,0.43582992056782804,1.7762661507525725e-05
1,"[1.0, 1.5707963267948966]",1100.0,30.79,0.43578967999157225,2.028879715689987e-05
1,"[1.0, 1.5707963267948966]",1600.0,43.17,0.43393674053772874,3.0422691466549645e-05
1,"[1.0, 1.5707963267948966]",2100.0,56.37,0.43538395734475654,5.866401185015895e-06
1,"[1.0, 1.5707963267948966]",2600.0,56.71,0.4319623141654308,1.9204592073628473e-06
1,"[1.0, 1.5707963267948966]",3100.0,65.09,0.431241452946721,4.027963650318939e-06
1,"[1.0, 1.5707963267948966]",3600.0,76.43,0.4273196496028223,1.3392102572052918e-06
1,"[1.0, 1.5707963267948966]",4100.0,85.37,0.4240378301589424,2.925147002447433e-06
1,"[1.0, 1.5707963267948966]",4600.0,85.9,0.42184024435540374,1.6101684514371891e-06
1,"[0.0, 0.0]",100.0,3.1,0.43209584095920384,0.00020355820247322732
1,"[0.0, 0.0]",600.0,19.96,0.42374297479253215,6.115729498420262e-05
1,"[0.0, 0.0]",1100.0,30.79,0.42295843063764316,3.0070647673464843e-05
